model/no_gan,model/launch_tensorboard,model/gpu,model/dis_noise,enc_loss,model/tb_compare,model/kl_div_loss_weight,model/train_gan_cadence,kl_divergence,model/train_vae_cadence,dis_loss,model/input_repeats,model/dev_step,model/voxel_prob_threshold,elapsed_time,dataset/index,model/tb_dir,generator/pad,model/save_step,generator/verbose,model/learning_rate,model/ll_weight,model/ckpt_dir,model/debug,model/dec_lr,dec_loss,model/voxels_dim,cfg,model/dec_weight,vaegan,model/batch_size,model/epochs,dataset/splits,model/latent_dim,model/recon_loss_weight,dataset/categories,dataset/class,model/keep_prob,reconstruction_loss,model/display_step,model/adaptive_lr,model/verbose,model/enc_lr,log,model/monitor_memory,ll_loss,model/dis_lr
False,True,nan,nan,nan,"[['vaegan_100epochs_toilets', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_13-12-53/tb']]",100,nan,nan,nan,nan,1,10,0.065,45.51,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,1,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-19_18-07-15,False,0.0002,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-19_18-07-15/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,1.0,nan,1,nan,True,0.0002,/home/jcworkma/jack/3d-form/src/logs/2019-03-19_18-07__root.log,True,nan,0.0002
False,True,nan,nan,nan,"[['first_vaegan', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-16_12-42-35/tb']]",1,nan,nan,nan,nan,1,2,0.065,0.03,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,2,True,0.0001,nan,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_07-26-22,True,nan,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_07-26-22/cfg.json,nan,True,32,50,True,100,10000,nan,ModelNet10,0.8,nan,6000,nan,True,nan,/home/jcworkma/jack/3d-form/src/logs/2019-03-17_07-26__root.log,nan,nan,nan
False,True,nan,nan,309.3214111328125,"[['vaegan_100epochs_toilets', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_13-12-53/tb']]",100,1,1.1800987720489502,1,0.0,1,10,0.065,315.2030151287715,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,0.0001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-20_01-33-13,False,0.0001,191.3115234375,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-20_01-33-13/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,1.0,0.3177419602870941,1,nan,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-20_01-33__root.log,True,1913115.25,0.0001
True,True,nan,0,nan,nan,0.1,1,nan,1,nan,1,5,0.065,nan,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_64_index.csv,tb,True,5,True,nan,1,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-04-09_05-07-11,True,0.0001,nan,64,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-04-09_05-07-11/cfg.json,100,True,128,100,True,100,10000,"['bathtub', 'bed', 'chair', 'dresser', 'monitor', 'night_stand', 'sofa', 'table', 'toilet']",ModelNet10,0.8,nan,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-04-09_05-07__root.log,True,nan,0.0001
False,True,nan,nan,nan,"[['best_vaegan', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_08-40-29/tb']]",100,nan,nan,nan,nan,1,10,0.065,88.92,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,0.001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_09-55-26,False,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_09-55-26/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,0.8,nan,1,nan,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-18_09-55__root.log,True,nan,0.0001
False,True,nan,nan,nan,"[['vaegan_100epochs_toilets', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-18_13-12-53/tb']]",100,1,nan,1,nan,1,10,0.065,49.65,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,0.0001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-20_08-46-30,False,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-20_08-46-30/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,1.0,nan,1,nan,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-20_08-46__root.log,True,nan,0.0001
False,True,nan,0,nan,"[['vaegan_logless_loss', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-22_16-01-54/tb']]",100,1,nan,2,nan,1,5,0.065,2.05,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,2,True,nan,0.001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_08-04-19,True,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_08-04-19/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,1.0,nan,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-23_08-04__root.log,True,nan,0.0001
False,True,nan,nan,24.990257263183594,"[['best_vaegan', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_08-40-29/tb']]",100,nan,0.07946532964706421,nan,5.186166286468506,1,10,0.065,906.537507088979,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,0.001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_15-32-59,False,0.0001,85.76961517333984,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-17_15-32-59/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,0.8,0.10952448844909668,6000,nan,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-17_15-32__root.log,True,17043.72265625,0.0001
False,True,nan,0,nan,"[['vaegan_logless_loss', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-22_16-01-54/tb']]",100,1,nan,2,nan,1,5,0.065,4.24,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,2,True,nan,0.001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_07-59-44,True,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_07-59-44/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,1.0,nan,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-23_07-59__root.log,True,nan,0.0001
False,True,nan,0,nan,"[['vaegan_1024_filter_discr', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-20_09-39-05/']]",100,1,nan,1,nan,1,5,0.065,nan,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,2,True,nan,0.0001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_04-05-36,True,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_04-05-36/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,0.8,nan,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-23_04-05__root.log,True,nan,0.0001
False,True,nan,0,nan,"[['vaegan_1024_filter_discr', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-20_09-39-05/']]",100,1,nan,1,nan,1,5,0.065,nan,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,2,True,nan,0.0001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_03-23-45,True,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_03-23-45/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,0.8,nan,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-23_03-23__root.log,True,nan,0.0001
False,True,nan,0,nan,"[['vaegan_1024_filter_discr', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-20_09-39-05/']]",100,1,nan,2,nan,1,5,0.065,4.55,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,2,True,nan,0.0001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_04-19-05,True,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-23_04-19-05/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,0.8,nan,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-23_04-19__root.log,True,nan,0.0001
False,True,nan,0,nan,"[['vaegan_1024_filter_discr', '/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-20_09-39-05/']]",100,1,nan,1,nan,1,10,0.065,1.11,/home/jcworkma/jack/3d-form/src/../data/processed/modelnet10_toilet_index.csv,tb,True,10,True,nan,0.0001,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-22_15-54-23,True,0.0001,nan,32,/home/jcworkma/jack/3d-form/src/../models/voxel_vaegan1/modelnet10/2019-03-22_15-54-23/cfg.json,100,True,32,201,True,100,10000,nan,ModelNet10,0.8,nan,1,False,True,0.0001,/home/jcworkma/jack/3d-form/src/logs/2019-03-22_15-54__root.log,True,nan,0.0001
